parent,node,branch.length,label,isTip,x,y,branch,angle,tip_label,scientificName,spp,Simpleton.grouping.code,family,overwintering.stage,voltinism,notes,X,X.1
135,1,38.940362,Pholisora catullus,TRUE,119.50474,8,100.034559,22.15384615,Hesperiidae_Pyrginae_Carcharodini_Pholisora_catullus,Pholisora catullus,Pholisora_catullus,RL,Hesperiidae,L,M,,NA,
135,2,38.940362,Staphylus hayhurstii,TRUE,119.50474,9,100.034559,24.92307692,Hesperiidae_Pyrginae_Carcharodini_Staphylus_hayhurstii,Staphylus hayhurstii,Staphylus_hayhurstii,RL,Hesperiidae,L,M,,NA,
138,3,7.563044,Erynnis brizo,TRUE,119.50474,11,115.723218,30.46153846,Hesperiidae_Pyrginae_Erynnini_Erynnis_brizo,Erynnis brizo,Erynnis_brizo,RL,Hesperiidae,NA,NA,NA,NA,NA
138,4,7.563044,Erynnis icelus,TRUE,119.50474,12,115.723218,33.23076923,Hesperiidae_Pyrginae_Erynnini_Erynnis_icelus,Erynnis icelus,Erynnis_icelus,RL,Hesperiidae,NA,NA,NA,NA,NA
140,5,11.562194,Erynnis martialis,TRUE,119.50474,13,113.723643,36,Hesperiidae_Pyrginae_Erynnini_Erynnis_martialis,Erynnis martialis,Erynnis_martialis,RL,Hesperiidae,L,M,,NA,
140,6,11.562194,Erynnis funeralis,TRUE,119.50474,14,113.723643,38.76923077,Hesperiidae_Pyrginae_Erynnini_Erynnis_funeralis,Erynnis funeralis,Erynnis_funeralis,RL,Hesperiidae,L,M,,NA,
142,7,7.393726,Erynnis persius,TRUE,119.50474,17,115.807877,47.07692308,Hesperiidae_Pyrginae_Erynnini_Erynnis_persius,Erynnis persius,Erynnis_persius,RL,Hesperiidae,L,U,,NA,
143,8,0.28628,Erynnis baptisiae,TRUE,119.504741,18,119.361601,49.84615385,Hesperiidae_Pyrginae_Erynnini_Erynnis_baptisiae,Erynnis baptisiae,Erynnis_baptisiae,RL,Hesperiidae,L,M,,NA,
143,9,0.28628,Erynnis lucilius,TRUE,119.504741,19,119.361601,52.61538462,Hesperiidae_Pyrginae_Erynnini_Erynnis_lucilius,Erynnis lucilius,Erynnis_lucilius,RL,Hesperiidae,L,M,,NA,
144,10,5.591372,Erynnis horatius,TRUE,119.504738,15,116.709052,41.53846154,Hesperiidae_Pyrginae_Erynnini_Erynnis_horatius,Erynnis horatius,Erynnis_horatius,RL,Hesperiidae,L,M,,NA,
144,11,5.591373,Erynnis juvenalis,TRUE,119.504739,16,116.7090525,44.30769231,Hesperiidae_Pyrginae_Erynnini_Erynnis_juvenalis,Erynnis juvenalis,Erynnis_juvenalis,RL,Hesperiidae,L,U,,NA,
136,12,52.384112,Pyrgus centaureae,TRUE,119.50474,10,93.312684,27.69230769,Hesperiidae_Pyrginae_Pyrgini_Pyrgus_centaureae,Pyrgus centaureae,Pyrgus_centaureae,RL,Hesperiidae,NA,NA,NA,NA,NA
149,13,11.258383,Megathymus streckeri,TRUE,119.504741,29,113.8755495,80.30769231,Hesperiidae_Hesperiinae__Megathymus_streckeri,Megathymus streckeri,Megathymus_streckeri,RL,Hesperiidae,NA,NA,NA,NA,NA
149,14,11.258383,Megathymus cofaqui,TRUE,119.504741,30,113.8755495,83.07692308,Hesperiidae_Hesperiinae__Megathymus_cofaqui,Megathymus cofaqui,Megathymus_cofaqui,RL,Hesperiidae,NA,NA,NA,NA,NA
148,15,30.067156,Megathymus yuccae,TRUE,119.504741,28,104.471163,77.53846154,Hesperiidae_Hesperiinae__Megathymus_yuccae,Megathymus yuccae,Megathymus_yuccae,RL,Hesperiidae,NA,NA,NA,NA,NA
154,16,22.369616,Atrytone arogos,TRUE,119.504742,40,108.319934,110.7692308,Hesperiidae_Hesperiinae_Hesperiini_Atrytone_arogos,Atrytone arogos,Atrytone_arogos,RL,Hesperiidae,NA,NA,NA,NA,NA
155,17,9.613398,Problema byssus,TRUE,119.504742,41,114.698043,113.5384615,Hesperiidae_Hesperiinae_Hesperiini_Problema_byssus,Problema byssus,Problema_byssus,RL,Hesperiidae,L,F,,NA,
155,18,9.613398,Problema bulenta,TRUE,119.504742,42,114.698043,116.3076923,Hesperiidae_Hesperiinae_Hesperiini_Problema_bulenta,Problema bulenta,Problema_bulenta,RL,Hesperiidae,NA,NA,NA,NA,NA
